City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Busselton,AU,-33.65,115.3333,55.31,57,0,7.29,clear sky
1,Palmer,US,42.1584,-72.3287,65.01,34,100,6.91,overcast clouds
2,Lichuan,CN,30.3,108.85,60.03,91,100,2.01,overcast clouds
3,Khatanga,RU,71.9667,102.5,15.13,86,100,24.18,overcast clouds
4,Saint George,US,37.1041,-113.5841,89.64,11,0,1.99,clear sky
5,Tautira,PF,-17.7333,-149.15,81.1,78,24,3.65,light rain
6,Lata,PT,40.1629,-8.3327,64.71,61,80,3.06,broken clouds
7,Mount Isa,AU,-20.7333,139.5,58.77,38,0,12.66,clear sky
8,Atuona,PF,-9.8,-139.0333,78.66,76,13,15.66,few clouds
9,Torbay,CA,47.6666,-52.7314,40.75,94,100,19.57,light intensity shower rain
10,Shimoda,JP,34.6667,138.95,60.1,85,100,6.64,overcast clouds
11,Hofn,IS,64.2539,-15.2082,46.42,39,75,11.5,broken clouds
12,Dingle,PH,10.9995,122.6711,78.22,87,91,6.87,overcast clouds
13,Jamestown,US,42.097,-79.2353,55.04,89,100,10.36,moderate rain
14,Ushuaia,AR,-54.8,-68.3,44.22,56,20,4.61,few clouds
15,Atasu,KZ,48.6814,71.6433,58.98,48,64,16.91,broken clouds
16,Butaritari,KI,3.0707,172.7902,80.73,73,100,14.09,overcast clouds
17,Port Elizabeth,ZA,-33.918,25.5701,64.69,86,20,13.8,few clouds
18,Saint-Philippe,RE,-21.3585,55.7679,76.59,78,52,14.79,broken clouds
19,Ancud,CL,-41.8697,-73.8203,54.54,84,100,9.53,overcast clouds
20,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,69,0,19.57,clear sky
21,San Cristobal,VE,7.7669,-72.225,77.18,70,82,4.7,broken clouds
22,Albany,US,42.6001,-73.9662,62.89,41,100,1.99,overcast clouds
23,Sardarpur,IN,22.678,74.9484,89.04,22,0,13.87,clear sky
24,Severo-Kurilsk,RU,50.6789,156.125,38.77,74,42,9.71,scattered clouds
25,Ponta Do Sol,PT,32.6667,-17.1,71.71,70,78,5.14,broken clouds
26,Hithadhoo,MV,-0.6,73.0833,83.61,76,93,14.18,overcast clouds
27,Hilo,US,19.7297,-155.09,85.28,96,100,1.01,moderate rain
28,Berlevag,NO,70.8578,29.0864,39.0,83,100,7.99,overcast clouds
29,Nueva Armenia,HN,15.7956,-86.4985,87.98,52,70,6.67,broken clouds
30,Bethel,US,41.3712,-73.414,58.71,85,100,3.44,light rain
31,Sioux Lookout,CA,50.1001,-91.917,60.87,29,20,8.05,few clouds
32,Yellowknife,CA,62.456,-114.3525,54.12,50,75,15.01,broken clouds
33,Morondava,MG,-20.2833,44.2833,79.27,72,94,11.34,overcast clouds
34,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,100,11.5,light snow
35,Sanchor,IN,24.7553,71.7722,84.36,40,0,9.91,clear sky
36,Cape Town,ZA,-33.9258,18.4232,57.9,90,75,6.91,light rain
37,Airai,TL,-8.9266,125.4092,58.57,91,0,3.15,clear sky
38,Longyearbyen,SJ,78.2186,15.6401,26.44,63,75,4.61,broken clouds
39,Victoria,HK,22.2855,114.1577,78.19,83,100,11.01,overcast clouds
40,Punta Arenas,CL,-53.15,-70.9167,41.11,87,100,6.91,light rain
41,Moree,AU,-29.4667,149.85,41.02,87,81,1.14,broken clouds
42,Boguchar,RU,49.9358,40.545,43.54,55,25,5.91,scattered clouds
43,Broken Hill,AU,-31.95,141.4333,40.71,87,4,0.0,clear sky
44,Christchurch,NZ,-43.5333,172.6333,55.94,90,100,10.36,overcast clouds
45,Olafsvik,IS,64.8945,-23.7142,40.89,68,93,22.35,overcast clouds
46,East London,ZA,-33.0153,27.9116,67.14,94,75,6.91,broken clouds
47,Port Alfred,ZA,-33.5906,26.891,66.18,89,100,4.0,overcast clouds
