City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Severo-Kurilsk,RU,2022-04-26 07:23:58,50.6789,156.125,33.37,87,90,23.82
1,Kayerkan,RU,2022-04-26 07:27:07,69.3497,87.7602,15.53,72,100,7.67
2,Hobart,AU,2022-04-26 07:22:37,-42.8794,147.3294,60.22,74,75,5.75
3,Hermanus,ZA,2022-04-26 07:27:08,-34.4187,19.2345,55.8,71,54,5.41
4,Fairbanks,US,2022-04-26 07:27:08,64.8378,-147.7164,41.0,62,0,6.91
5,Busselton,AU,2022-04-26 07:27:08,-33.65,115.3333,66.87,54,97,11.41
6,Ambilobe,MG,2022-04-26 07:27:09,-13.2,49.05,83.68,61,10,6.6
7,Ushuaia,AR,2022-04-26 07:25:23,-54.8,-68.3,38.86,65,75,3.44
8,Tiznit,MA,2022-04-26 07:27:09,29.5833,-9.5,54.23,90,89,6.55
9,Atuona,PF,2022-04-26 07:27:10,-9.8,-139.0333,79.2,77,15,20.33
10,Ribeira Grande,PT,2022-04-26 07:27:10,38.5167,-28.7,59.4,82,75,8.05
11,Qaanaaq,GL,2022-04-26 07:27:10,77.484,-69.3632,5.83,60,47,7.72
12,Cowansville,CA,2022-04-26 07:27:11,45.2001,-72.7491,56.55,59,100,9.22
13,Kochi,IN,2022-04-26 07:27:11,9.9399,76.2602,91.38,71,17,10.09
14,Sao Raimundo Das Mangabeiras,BR,2022-04-26 07:27:12,-7.0219,-45.4811,69.93,81,12,1.88
15,Winona,US,2022-04-26 07:27:12,43.9666,-91.7668,31.98,77,100,11.5
16,Atasu,KZ,2022-04-26 07:27:13,48.6814,71.6433,58.96,28,41,9.15
17,Provideniya,RU,2022-04-26 07:27:13,64.3833,-173.3,26.91,88,79,10.67
18,Mahe,IN,2022-04-26 07:27:14,11.7,75.5333,90.39,63,7,11.7
19,Iskateley,RU,2022-04-26 07:27:15,67.6803,53.1512,33.04,100,100,9.6
20,Sosnovo,RU,2022-04-26 07:27:15,60.5514,30.2144,45.0,77,93,8.03
21,Tiksi,RU,2022-04-26 07:27:15,71.6872,128.8694,10.99,85,79,1.59
22,Kodiak,US,2022-04-26 07:27:16,57.79,-152.4072,36.91,75,0,6.91
23,Port Alfred,ZA,2022-04-26 07:27:16,-33.5906,26.891,63.18,72,0,5.01
24,Rikitea,PF,2022-04-26 07:23:13,-23.1203,-134.9692,76.98,78,24,15.77
25,Ouesso,CG,2022-04-26 07:27:17,1.6136,16.0517,75.58,91,100,0.89
26,Cape Town,ZA,2022-04-26 07:27:17,-33.9258,18.4232,64.11,66,20,14.97
27,Hamilton,US,2022-04-26 07:25:14,39.1834,-84.5333,49.93,78,20,12.66
28,Albany,US,2022-04-26 07:27:18,42.6001,-73.9662,52.21,77,100,3.98
29,Saint Anthony,US,2022-04-26 07:27:18,45.0205,-93.218,30.92,70,100,13.8
30,New Norfolk,AU,2022-04-26 07:27:19,-42.7826,147.0587,59.88,66,95,3.51
31,Bredasdorp,ZA,2022-04-26 07:27:19,-34.5322,20.0403,59.2,69,86,1.01
32,Punta Arenas,CL,2022-04-26 07:27:20,-53.15,-70.9167,30.31,86,0,6.91
33,Narsaq,GL,2022-04-26 07:27:20,60.9167,-46.05,37.62,94,100,3.44
34,Kota Kinabalu,MY,2022-04-26 07:27:20,5.9749,116.0724,88.88,74,20,5.99
35,Arraial Do Cabo,BR,2022-04-26 07:27:21,-22.9661,-42.0278,74.48,83,23,12.46
36,Mataura,NZ,2022-04-26 07:27:21,-46.1927,168.8643,51.48,90,99,10.11
37,Luderitz,NA,2022-04-26 07:27:22,-26.6481,15.1594,66.27,39,0,9.8
38,Yellowknife,CA,2022-04-26 07:23:57,62.456,-114.3525,36.12,69,75,10.36
39,Dicabisagan,PH,2022-04-26 07:23:22,17.0818,122.4157,85.57,70,27,8.41
40,Borger,NL,2022-04-26 07:27:22,52.9233,6.7931,49.8,80,13,12.97
41,Santarem,BR,2022-04-26 07:25:09,-2.4431,-54.7083,75.33,94,20,0.0
42,Butembo,CD,2022-04-26 07:27:23,0.15,29.2833,62.35,95,100,1.41
43,Catamarca,AR,2022-04-26 07:28:24,-28.4696,-65.7852,72.77,60,0,7.38
44,Airai,TL,2022-04-26 07:28:24,-8.9266,125.4092,72.77,53,100,1.88
45,Mahebourg,MU,2022-04-26 07:28:24,-20.4081,57.7,81.25,65,40,12.66
46,Victoria,HK,2022-04-26 07:28:25,22.2855,114.1577,86.97,74,3,11.01
47,Bluff,NZ,2022-04-26 07:28:25,-46.6,168.3333,51.8,78,98,24.27
48,Saint-Philippe,RE,2022-04-26 07:28:26,-21.3585,55.7679,81.99,72,33,13.71
49,Pevek,RU,2022-04-26 07:28:26,69.7008,170.3133,25.2,81,99,4.88
50,Khatanga,RU,2022-04-26 07:28:26,71.9667,102.5,17.56,82,100,8.59
51,Gallup,US,2022-04-26 07:28:27,35.5281,-108.7426,34.56,23,0,0.0
52,Batemans Bay,AU,2022-04-26 07:28:27,-35.7167,150.1833,67.1,85,100,3.89
53,Borovskoy,KZ,2022-04-26 07:28:28,53.8,64.15,60.06,51,100,5.91
54,Bambous Virieux,MU,2022-04-26 07:28:28,-20.3428,57.7575,81.21,65,40,12.66
55,Tezu,IN,2022-04-26 07:28:28,27.9167,96.1667,80.76,51,84,4.85
56,Upernavik,GL,2022-04-26 07:28:29,72.7868,-56.1549,12.97,82,100,6.06
57,Mamallapuram,IN,2022-04-26 07:28:29,12.6264,80.1722,98.65,56,3,13.69
58,Sokode,TG,2022-04-26 07:28:30,8.9833,1.1333,76.28,78,81,2.82
59,Conde,BR,2022-04-26 07:28:30,-7.2597,-34.9075,72.86,100,40,2.3
60,Bengkulu,ID,2022-04-26 07:28:30,-3.8004,102.2655,85.68,63,92,7.0
61,Verkhnevilyuysk,RU,2022-04-26 07:28:31,63.4453,120.3167,32.45,73,100,6.44
62,Norrkoping,SE,2022-04-26 07:28:31,58.5942,16.1826,46.98,53,0,10.36
63,Birjand,IR,2022-04-26 07:24:54,32.8663,59.2211,88.27,9,40,13.8
64,Were Ilu,ET,2022-04-26 07:28:32,10.6,39.4333,66.83,39,24,6.73
65,Santa Luzia,BR,2022-04-26 07:28:32,-19.7697,-43.8514,66.54,82,0,6.91
66,East London,ZA,2022-04-26 07:28:32,-33.0153,27.9116,63.54,63,0,11.5
67,Nikolskoye,RU,2022-04-26 07:28:33,59.7035,30.7861,49.87,74,26,7.11
68,Bilibino,RU,2022-04-26 07:28:33,68.0546,166.4372,28.04,82,100,4.56
69,Saint-Joseph,RE,2022-04-26 07:28:34,-21.3667,55.6167,80.98,68,16,11.97
70,Umkomaas,ZA,2022-04-26 07:28:34,-30.2067,30.7978,68.68,62,0,7.83
71,Kattivakkam,IN,2022-04-26 07:28:35,13.2167,80.3167,98.69,74,3,16.49
72,Norman Wells,CA,2022-04-26 07:28:35,65.282,-126.8329,39.24,70,75,4.61
73,Orange Cove,US,2022-04-26 07:28:35,36.6244,-119.3137,67.66,35,100,3.67
74,Zeya,RU,2022-04-26 07:28:36,53.75,127.2667,46.53,17,100,12.62
75,Castro,BR,2022-04-26 07:28:36,-24.7911,-50.0119,58.19,83,61,2.06
76,Poum,NC,2022-04-26 07:28:37,-20.2333,164.0167,77.41,65,100,17.98
77,Panzhihua,CN,2022-04-26 07:28:37,26.5851,101.7128,92.37,17,1,2.77
78,Nouadhibou,MR,2022-04-26 07:28:37,20.931,-17.0347,64.38,100,40,11.5
79,Hithadhoo,MV,2022-04-26 07:28:38,-0.6,73.0833,85.17,71,98,7.74
80,Shestakovo,RU,2022-04-26 07:28:38,56.4915,103.96,38.79,68,100,8.84
81,Zhigansk,RU,2022-04-26 07:28:39,66.7697,123.3711,25.14,71,80,3.94
82,Ribeira Brava,PT,2022-04-26 07:28:39,32.65,-17.0667,60.71,75,13,7.09
83,Komsomolskiy,UZ,2022-04-26 07:28:40,40.4272,71.7189,74.12,38,100,2.3
84,Javanrud,IR,2022-04-26 07:28:40,34.7961,46.5172,55.96,76,100,3.96
85,Anadyr,RU,2022-04-26 07:28:40,64.75,177.4833,28.9,92,75,29.08
86,Leningradskiy,RU,2022-04-26 07:28:41,69.3833,178.4167,15.84,95,82,12.62
87,Butaritari,KI,2022-04-26 07:28:41,3.0707,172.7902,81.55,83,27,17.52
88,Codrington,AU,2022-04-26 07:28:42,-38.2667,141.9667,69.44,48,100,7.02
89,Pasighat,IN,2022-04-26 07:29:42,28.0667,95.3333,81.91,52,98,3.44
90,Pisco,PE,2022-04-26 07:29:43,-13.7,-76.2167,66.25,82,0,9.22
91,Letlhakane,BW,2022-04-26 07:29:43,-21.4167,25.5833,73.71,49,5,12.1
92,Vardo,NO,2022-04-26 07:29:43,70.3705,31.1107,22.98,68,40,21.85
93,Cherskiy,RU,2022-04-26 07:29:44,68.75,161.3,26.76,86,100,7.07
94,Carnarvon,AU,2022-04-26 07:29:44,-24.8667,113.6333,80.67,65,40,13.8
95,Tuktoyaktuk,CA,2022-04-26 07:29:45,69.4541,-133.0374,8.6,92,40,9.22
96,Olafsvik,IS,2022-04-26 07:29:45,64.8945,-23.7142,42.58,72,100,7.56
97,Antofagasta,CL,2022-04-26 07:29:45,-23.65,-70.4,60.12,88,84,3.31
98,Hilo,US,2022-04-26 07:29:46,19.7297,-155.09,74.28,97,100,4.61
99,Lagoa,PT,2022-04-26 07:29:46,39.05,-27.9833,58.62,71,84,10.25
100,Kapaa,US,2022-04-26 07:29:47,22.0752,-159.319,78.78,92,75,16.11
101,Fortuna,US,2022-04-26 07:29:47,40.5982,-124.1573,50.67,94,75,6.91
102,Masuguru,TZ,2022-04-26 07:27:16,-11.3667,38.4167,81.39,77,69,2.91
103,Manaure,CO,2022-04-26 07:29:48,11.7751,-72.4445,79.52,78,97,9.89
104,Puerto Ayora,EC,2022-04-26 07:29:48,-0.7393,-90.3518,70.84,92,9,5.44
105,Gamboula,CF,2022-04-26 07:29:49,4.1178,15.1393,75.33,84,100,2.66
106,Nome,US,2022-04-26 07:29:49,64.5011,-165.4064,32.07,86,0,6.91
107,Georgetown,MY,2022-04-26 07:27:24,5.4112,100.3354,91.35,69,20,8.05
108,Peniche,PT,2022-04-26 07:25:10,39.3558,-9.3811,58.28,94,18,7.2
109,Hami,CN,2022-04-26 07:29:50,42.8,93.45,69.78,26,100,7.56
110,Liling,CN,2022-04-26 07:29:50,27.6667,113.5,79.97,73,100,6.38
111,Acucena,BR,2022-04-26 07:29:50,-19.0731,-42.5464,66.72,97,35,0.87
112,Lebu,CL,2022-04-26 07:29:51,-37.6167,-73.65,52.97,96,100,12.55
113,Lompoc,US,2022-04-26 07:29:51,34.6391,-120.4579,52.21,87,100,23.0
114,Vila Velha,BR,2022-04-26 07:29:52,-20.3297,-40.2925,71.94,91,0,2.3
115,Goundam,ML,2022-04-26 07:29:52,16.4145,-3.6708,77.43,24,0,8.19
116,Miguel Hidalgo,MX,2022-04-26 07:29:52,19.4225,-99.2028,62.01,55,75,5.01
117,Isangel,VU,2022-04-26 07:29:53,-19.55,169.2667,75.29,71,100,15.39
118,Arlit,NE,2022-04-26 07:29:53,18.7369,7.3853,82.33,14,0,8.88
119,Chokurdakh,RU,2022-04-26 07:29:54,70.6333,147.9167,11.28,93,7,3.38
